sku,name,quantity,price,supplier,lastRestocked
SKU-00804,Premium Whatsit,218,30.19,Supply Chain Co,2024-01-21
SKU-00805,Premium Gizmo,235,31.49,Acme Corp,2024-01-22
SKU-00806,Premium Component,252,32.79,TechSupply Inc,2024-01-23
SKU-00807,Premium Part,269,34.09,Parts R Us,2024-01-24
SKU-00808,Premium Module,286,5.39,Global Widgets,2024-01-25
SKU-00809,Premium Assembly,303,6.69,Supply Chain Co,2024-01-26
SKU-00810,Standard Widget,320,7.99,Acme Corp,2024-01-27
SKU-00811,Standard Gadget,337,9.29,TechSupply Inc,2024-01-28
SKU-00812,Standard Doohickey,354,10.59,Parts R Us,2024-01-01
SKU-00813,Standard Thingamajig,371,11.89,Global Widgets,2024-01-02
SKU-00814,Standard Whatsit,388,13.19,Supply Chain Co,2024-01-03
SKU-00815,Standard Gizmo,405,14.49,Acme Corp,2024-01-04
SKU-00816,Standard Component,422,15.79,TechSupply Inc,2024-01-05
SKU-00817,Standard Part,439,17.09,Parts R Us,2024-01-06
SKU-00818,Standard Module,456,18.39,Global Widgets,2024-01-07
SKU-00819,Standard Assembly,473,19.69,Supply Chain Co,2024-01-08
SKU-00820,Deluxe Widget,490,20.99,Acme Corp,2024-01-09
SKU-00821,Deluxe Gadget,57,22.29,TechSupply Inc,2024-01-10
SKU-00822,Deluxe Doohickey,74,23.59,Parts R Us,2024-01-11
SKU-00823,Deluxe Thingamajig,91,24.89,Global Widgets,2024-01-12
SKU-00824,Deluxe Whatsit,108,26.19,Supply Chain Co,2024-01-13
SKU-00825,Deluxe Gizmo,125,27.49,Acme Corp,2024-01-14
SKU-00826,Deluxe Component,142,28.79,TechSupply Inc,2024-01-15
SKU-00827,Deluxe Part,159,30.09,Parts R Us,2024-01-16
SKU-00828,Deluxe Module,176,31.39,Global Widgets,2024-01-17
SKU-00829,Deluxe Assembly,193,32.69,Supply Chain Co,2024-01-18
SKU-00830,Basic Widget,210,33.99,Acme Corp,2024-01-19
SKU-00831,Basic Gadget,227,5.29,TechSupply Inc,2024-01-20
SKU-00832,Basic Doohickey,244,6.59,Parts R Us,2024-01-21
SKU-00833,Basic Thingamajig,261,7.89,Global Widgets,2024-01-22
SKU-00834,Basic Whatsit,278,9.19,Supply Chain Co,2024-01-23
SKU-00835,Basic Gizmo,295,10.49,Acme Corp,2024-01-24
SKU-00836,Basic Component,312,11.79,TechSupply Inc,2024-01-25
SKU-00837,Basic Part,329,13.09,Parts R Us,2024-01-26
SKU-00838,Basic Module,346,14.39,Global Widgets,2024-01-27
SKU-00839,Basic Assembly,363,15.69,Supply Chain Co,2024-01-28
SKU-00840,Pro Widget,380,16.99,Acme Corp,2024-01-01
SKU-00841,Pro Gadget,397,18.29,TechSupply Inc,2024-01-02
SKU-00842,Pro Doohickey,414,19.59,Parts R Us,2024-01-03
SKU-00843,Pro Thingamajig,431,20.89,Global Widgets,2024-01-04
SKU-00844,Pro Whatsit,448,22.19,Supply Chain Co,2024-01-05
SKU-00845,Pro Gizmo,465,23.49,Acme Corp,2024-01-06
SKU-00846,Pro Component,482,24.79,TechSupply Inc,2024-01-07
SKU-00847,Pro Part,499,26.09,Parts R Us,2024-01-08
SKU-00848,Pro Module,66,27.39,Global Widgets,2024-01-09
SKU-00849,Pro Assembly,83,28.69,Supply Chain Co,2024-01-10
SKU-00850,Ultra Widget,100,29.99,Acme Corp,2024-01-11
SKU-00851,Ultra Gadget,117,31.29,TechSupply Inc,2024-01-12
SKU-00852,Ultra Doohickey,134,32.59,Parts R Us,2024-01-13
SKU-00853,Ultra Thingamajig,151,33.89,Global Widgets,2024-01-14
SKU-00854,Ultra Whatsit,168,5.19,Supply Chain Co,2024-01-15
SKU-00855,Ultra Gizmo,185,6.49,Acme Corp,2024-01-16
SKU-00856,Ultra Component,202,7.79,TechSupply Inc,2024-01-17
SKU-00857,Ultra Part,219,9.09,Parts R Us,2024-01-18
SKU-00858,Ultra Module,236,10.39,Global Widgets,2024-01-19
SKU-00859,Ultra Assembly,253,11.69,Supply Chain Co,2024-01-20
SKU-00860,Mini Widget,270,12.99,Acme Corp,2024-01-21
SKU-00861,Mini Gadget,287,14.29,TechSupply Inc,2024-01-22
SKU-00862,Mini Doohickey,304,15.59,Parts R Us,2024-01-23
SKU-00863,Mini Thingamajig,321,16.89,Global Widgets,2024-01-24
SKU-00864,Mini Whatsit,338,18.19,Supply Chain Co,2024-01-25
SKU-00865,Mini Gizmo,355,19.49,Acme Corp,2024-01-26
SKU-00866,Mini Component,372,20.79,TechSupply Inc,2024-01-27
SKU-00867,Mini Part,389,22.09,Parts R Us,2024-01-28
SKU-00868,Mini Module,406,23.39,Global Widgets,2024-01-01
SKU-00869,Mini Assembly,423,24.69,Supply Chain Co,2024-01-02
SKU-00870,Mega Widget,440,25.99,Acme Corp,2024-01-03
SKU-00871,Mega Gadget,457,27.29,TechSupply Inc,2024-01-04
SKU-00872,Mega Doohickey,474,28.59,Parts R Us,2024-01-05
SKU-00873,Mega Thingamajig,491,29.89,Global Widgets,2024-01-06
SKU-00874,Mega Whatsit,58,31.19,Supply Chain Co,2024-01-07
SKU-00875,Mega Gizmo,75,32.49,Acme Corp,2024-01-08
SKU-00876,Mega Component,92,33.79,TechSupply Inc,2024-01-09
SKU-00877,Mega Part,109,5.09,Parts R Us,2024-01-10
SKU-00878,Mega Module,126,6.39,Global Widgets,2024-01-11
SKU-00879,Mega Assembly,143,7.69,Supply Chain Co,2024-01-12
SKU-00880,Super Widget,160,8.99,Acme Corp,2024-01-13
SKU-00881,Super Gadget,177,10.29,TechSupply Inc,2024-01-14
SKU-00882,Super Doohickey,194,11.59,Parts R Us,2024-01-15
SKU-00883,Super Thingamajig,211,12.89,Global Widgets,2024-01-16
SKU-00884,Super Whatsit,228,14.19,Supply Chain Co,2024-01-17
SKU-00885,Super Gizmo,245,15.49,Acme Corp,2024-01-18
SKU-00886,Super Component,262,16.79,TechSupply Inc,2024-01-19
SKU-00887,Super Part,279,18.09,Parts R Us,2024-01-20
SKU-00888,Super Module,296,19.39,Global Widgets,2024-01-21
SKU-00889,Super Assembly,313,20.69,Supply Chain Co,2024-01-22
SKU-00890,Compact Widget,330,21.99,Acme Corp,2024-01-23
SKU-00891,Compact Gadget,347,23.29,TechSupply Inc,2024-01-24
SKU-00892,Compact Doohickey,364,24.59,Parts R Us,2024-01-25
SKU-00893,Compact Thingamajig,381,25.89,Global Widgets,2024-01-26
SKU-00894,Compact Whatsit,398,27.19,Supply Chain Co,2024-01-27
SKU-00895,Compact Gizmo,415,28.49,Acme Corp,2024-01-28
SKU-00896,Compact Component,432,29.79,TechSupply Inc,2024-01-01
SKU-00897,Compact Part,449,31.09,Parts R Us,2024-01-02
SKU-00898,Compact Module,466,32.39,Global Widgets,2024-01-03
SKU-00899,Compact Assembly,483,33.69,Supply Chain Co,2024-01-04
SKU-00900,Premium Widget,50,4.99,Acme Corp,2024-01-05
SKU-00901,Premium Gadget,67,6.29,TechSupply Inc,2024-01-06
SKU-00902,Premium Doohickey,84,7.59,Parts R Us,2024-01-07
SKU-00903,Premium Thingamajig,101,8.89,Global Widgets,2024-01-08
SKU-00904,Premium Whatsit,118,10.19,Supply Chain Co,2024-01-09
SKU-00905,Premium Gizmo,135,11.49,Acme Corp,2024-01-10
SKU-00906,Premium Component,152,12.79,TechSupply Inc,2024-01-11
SKU-00907,Premium Part,169,14.09,Parts R Us,2024-01-12
SKU-00908,Premium Module,186,15.39,Global Widgets,2024-01-13
SKU-00909,Premium Assembly,203,16.69,Supply Chain Co,2024-01-14
SKU-00910,Standard Widget,220,17.99,Acme Corp,2024-01-15
SKU-00911,Standard Gadget,237,19.29,TechSupply Inc,2024-01-16
SKU-00912,Standard Doohickey,254,20.59,Parts R Us,2024-01-17
SKU-00913,Standard Thingamajig,271,21.89,Global Widgets,2024-01-18
SKU-00914,Standard Whatsit,288,23.19,Supply Chain Co,2024-01-19
SKU-00915,Standard Gizmo,305,24.49,Acme Corp,2024-01-20
SKU-00916,Standard Component,322,25.79,TechSupply Inc,2024-01-21
SKU-00917,Standard Part,339,27.09,Parts R Us,2024-01-22
SKU-00918,Standard Module,356,28.39,Global Widgets,2024-01-23
SKU-00919,Standard Assembly,373,29.69,Supply Chain Co,2024-01-24
SKU-00920,Deluxe Widget,390,30.99,Acme Corp,2024-01-25
SKU-00921,Deluxe Gadget,407,32.29,TechSupply Inc,2024-01-26
SKU-00922,Deluxe Doohickey,424,33.59,Parts R Us,2024-01-27
SKU-00923,Deluxe Thingamajig,441,34.89,Global Widgets,2024-01-28
SKU-00924,Deluxe Whatsit,458,6.19,Supply Chain Co,2024-01-01
SKU-00925,Deluxe Gizmo,475,7.49,Acme Corp,2024-01-02
SKU-00926,Deluxe Component,492,8.79,TechSupply Inc,2024-01-03
SKU-00927,Deluxe Part,59,10.09,Parts R Us,2024-01-04
SKU-00928,Deluxe Module,76,11.39,Global Widgets,2024-01-05
SKU-00929,Deluxe Assembly,93,12.69,Supply Chain Co,2024-01-06
SKU-00930,Basic Widget,110,13.99,Acme Corp,2024-01-07
SKU-00931,Basic Gadget,127,15.29,TechSupply Inc,2024-01-08
SKU-00932,Basic Doohickey,144,16.59,Parts R Us,2024-01-09
SKU-00933,Basic Thingamajig,161,17.89,Global Widgets,2024-01-10
SKU-00934,Basic Whatsit,178,19.19,Supply Chain Co,2024-01-11
SKU-00935,Basic Gizmo,195,20.49,Acme Corp,2024-01-12
SKU-00936,Basic Component,212,21.79,TechSupply Inc,2024-01-13
SKU-00937,Basic Part,229,23.09,Parts R Us,2024-01-14
SKU-00938,Basic Module,246,24.39,Global Widgets,2024-01-15
SKU-00939,Basic Assembly,263,25.69,Supply Chain Co,2024-01-16
SKU-00940,Pro Widget,280,26.99,Acme Corp,2024-01-17
SKU-00941,Pro Gadget,297,28.29,TechSupply Inc,2024-01-18
SKU-00942,Pro Doohickey,314,29.59,Parts R Us,2024-01-19
SKU-00943,Pro Thingamajig,331,30.89,Global Widgets,2024-01-20
SKU-00944,Pro Whatsit,348,32.19,Supply Chain Co,2024-01-21
SKU-00945,Pro Gizmo,365,33.49,Acme Corp,2024-01-22
SKU-00946,Pro Component,382,34.79,TechSupply Inc,2024-01-23
SKU-00947,Pro Part,399,6.09,Parts R Us,2024-01-24
SKU-00948,Pro Module,416,7.39,Global Widgets,2024-01-25
SKU-00949,Pro Assembly,433,8.69,Supply Chain Co,2024-01-26
SKU-00950,Ultra Widget,450,9.99,Acme Corp,2024-01-27
SKU-00951,Ultra Gadget,467,11.29,TechSupply Inc,2024-01-28
SKU-00952,Ultra Doohickey,484,12.59,Parts R Us,2024-01-01
SKU-00953,Ultra Thingamajig,51,13.89,Global Widgets,2024-01-02
SKU-00954,Ultra Whatsit,68,15.19,Supply Chain Co,2024-01-03
SKU-00955,Ultra Gizmo,85,16.49,Acme Corp,2024-01-04
SKU-00956,Ultra Component,102,17.79,TechSupply Inc,2024-01-05
SKU-00957,Ultra Part,119,19.09,Parts R Us,2024-01-06
SKU-00958,Ultra Module,136,20.39,Global Widgets,2024-01-07
SKU-00959,Ultra Assembly,153,21.69,Supply Chain Co,2024-01-08
SKU-00960,Mini Widget,170,22.99,Acme Corp,2024-01-09
SKU-00961,Mini Gadget,187,24.29,TechSupply Inc,2024-01-10
SKU-00962,Mini Doohickey,204,25.59,Parts R Us,2024-01-11
SKU-00963,Mini Thingamajig,221,26.89,Global Widgets,2024-01-12
SKU-00964,Mini Whatsit,238,28.19,Supply Chain Co,2024-01-13
SKU-00965,Mini Gizmo,255,29.49,Acme Corp,2024-01-14
SKU-00966,Mini Component,272,30.79,TechSupply Inc,2024-01-15
SKU-00967,Mini Part,289,32.09,Parts R Us,2024-01-16
SKU-00968,Mini Module,306,33.39,Global Widgets,2024-01-17
SKU-00969,Mini Assembly,323,34.69,Supply Chain Co,2024-01-18
SKU-00970,Mega Widget,340,5.99,Acme Corp,2024-01-19
SKU-00971,Mega Gadget,357,7.29,TechSupply Inc,2024-01-20
SKU-00972,Mega Doohickey,374,8.59,Parts R Us,2024-01-21
SKU-00973,Mega Thingamajig,391,9.89,Global Widgets,2024-01-22
SKU-00974,Mega Whatsit,408,11.19,Supply Chain Co,2024-01-23
SKU-00975,Mega Gizmo,425,12.49,Acme Corp,2024-01-24
SKU-00976,Mega Component,442,13.79,TechSupply Inc,2024-01-25
SKU-00977,Mega Part,459,15.09,Parts R Us,2024-01-26
SKU-00978,Mega Module,476,16.39,Global Widgets,2024-01-27
SKU-00979,Mega Assembly,493,17.69,Supply Chain Co,2024-01-28
SKU-00980,Super Widget,60,18.99,Acme Corp,2024-01-01
SKU-00981,Super Gadget,77,20.29,TechSupply Inc,2024-01-02
SKU-00982,Super Doohickey,94,21.59,Parts R Us,2024-01-03
SKU-00983,Super Thingamajig,111,22.89,Global Widgets,2024-01-04
SKU-00984,Super Whatsit,128,24.19,Supply Chain Co,2024-01-05
SKU-00985,Super Gizmo,145,25.49,Acme Corp,2024-01-06
SKU-00986,Super Component,162,26.79,TechSupply Inc,2024-01-07
SKU-00987,Super Part,179,28.09,Parts R Us,2024-01-08
SKU-00988,Super Module,196,29.39,Global Widgets,2024-01-09
SKU-00989,Super Assembly,213,30.69,Supply Chain Co,2024-01-10
SKU-00990,Compact Widget,230,31.99,Acme Corp,2024-01-11
SKU-00991,Compact Gadget,247,33.29,TechSupply Inc,2024-01-12
SKU-00992,Compact Doohickey,264,34.59,Parts R Us,2024-01-13
SKU-00993,Compact Thingamajig,281,5.89,Global Widgets,2024-01-14
SKU-00994,Compact Whatsit,298,7.19,Supply Chain Co,2024-01-15
SKU-00995,Compact Gizmo,315,8.49,Acme Corp,2024-01-16
SKU-00996,Compact Component,332,9.79,TechSupply Inc,2024-01-17
SKU-00997,Compact Part,349,11.09,Parts R Us,2024-01-18
SKU-00998,Compact Module,366,12.39,Global Widgets,2024-01-19
SKU-00999,Compact Assembly,383,13.69,Supply Chain Co,2024-01-20
SKU-01000,Premium Widget,400,14.99,Acme Corp,2024-01-21
SKU-01001,Premium Gadget,417,16.29,TechSupply Inc,2024-01-22
SKU-01002,Premium Doohickey,434,17.59,Parts R Us,2024-01-23
SKU-01003,Premium Thingamajig,451,18.89,Global Widgets,2024-01-24
SKU-01004,Premium Whatsit,468,20.19,Supply Chain Co,2024-01-25
SKU-01005,Premium Gizmo,485,21.49,Acme Corp,2024-01-26
SKU-01006,Premium Component,52,22.79,TechSupply Inc,2024-01-27
SKU-01007,Premium Part,69,24.09,Parts R Us,2024-01-28
SKU-01008,Premium Module,86,25.39,Global Widgets,2024-01-01
SKU-01009,Premium Assembly,103,26.69,Supply Chain Co,2024-01-02
SKU-01010,Standard Widget,120,27.99,Acme Corp,2024-01-03
SKU-01011,Standard Gadget,137,29.29,TechSupply Inc,2024-01-04
SKU-01012,Standard Doohickey,154,30.59,Parts R Us,2024-01-05
SKU-01013,Standard Thingamajig,171,31.89,Global Widgets,2024-01-06
SKU-01014,Standard Whatsit,188,33.19,Supply Chain Co,2024-01-07
SKU-01015,Standard Gizmo,205,34.49,Acme Corp,2024-01-08
SKU-01016,Standard Component,222,5.79,TechSupply Inc,2024-01-09
SKU-01017,Standard Part,239,7.09,Parts R Us,2024-01-10
SKU-01018,Standard Module,256,8.39,Global Widgets,2024-01-11
SKU-01019,Standard Assembly,273,9.69,Supply Chain Co,2024-01-12
SKU-01020,Deluxe Widget,290,10.99,Acme Corp,2024-01-13
SKU-01021,Deluxe Gadget,307,12.29,TechSupply Inc,2024-01-14
SKU-01022,Deluxe Doohickey,324,13.59,Parts R Us,2024-01-15
SKU-01023,Deluxe Thingamajig,341,14.89,Global Widgets,2024-01-16
SKU-01024,Deluxe Whatsit,358,16.19,Supply Chain Co,2024-01-17
SKU-01025,Deluxe Gizmo,375,17.49,Acme Corp,2024-01-18
SKU-01026,Deluxe Component,392,18.79,TechSupply Inc,2024-01-19
SKU-01027,Deluxe Part,409,20.09,Parts R Us,2024-01-20
SKU-01028,Deluxe Module,426,21.39,Global Widgets,2024-01-21
SKU-01029,Deluxe Assembly,443,22.69,Supply Chain Co,2024-01-22
SKU-01030,Basic Widget,460,23.99,Acme Corp,2024-01-23
SKU-01031,Basic Gadget,477,25.29,TechSupply Inc,2024-01-24
SKU-01032,Basic Doohickey,494,26.59,Parts R Us,2024-01-25
SKU-01033,Basic Thingamajig,61,27.89,Global Widgets,2024-01-26
SKU-01034,Basic Whatsit,78,29.19,Supply Chain Co,2024-01-27
SKU-01035,Basic Gizmo,95,30.49,Acme Corp,2024-01-28
SKU-01036,Basic Component,112,31.79,TechSupply Inc,2024-01-01
SKU-01037,Basic Part,129,33.09,Parts R Us,2024-01-02
SKU-01038,Basic Module,146,34.39,Global Widgets,2024-01-03
SKU-01039,Basic Assembly,163,5.69,Supply Chain Co,2024-01-04
SKU-01040,Pro Widget,180,6.99,Acme Corp,2024-01-05
SKU-01041,Pro Gadget,197,8.29,TechSupply Inc,2024-01-06
SKU-01042,Pro Doohickey,214,9.59,Parts R Us,2024-01-07
SKU-01043,Pro Thingamajig,231,10.89,Global Widgets,2024-01-08
SKU-01044,Pro Whatsit,248,12.19,Supply Chain Co,2024-01-09
SKU-01045,Pro Gizmo,265,13.49,Acme Corp,2024-01-10
SKU-01046,Pro Component,282,14.79,TechSupply Inc,2024-01-11
SKU-01047,Pro Part,299,16.09,Parts R Us,2024-01-12
SKU-01048,Pro Module,316,17.39,Global Widgets,2024-01-13
SKU-01049,Pro Assembly,333,18.69,Supply Chain Co,2024-01-14
SKU-01050,Ultra Widget,350,19.99,Acme Corp,2024-01-15
SKU-01051,Ultra Gadget,367,21.29,TechSupply Inc,2024-01-16
SKU-01052,Ultra Doohickey,384,22.59,Parts R Us,2024-01-17
SKU-01053,Ultra Thingamajig,401,23.89,Global Widgets,2024-01-18
SKU-01054,Ultra Whatsit,418,25.19,Supply Chain Co,2024-01-19
SKU-01055,Ultra Gizmo,435,26.49,Acme Corp,2024-01-20
SKU-01056,Ultra Component,452,27.79,TechSupply Inc,2024-01-21
SKU-01057,Ultra Part,469,29.09,Parts R Us,2024-01-22
SKU-01058,Ultra Module,486,30.39,Global Widgets,2024-01-23
SKU-01059,Ultra Assembly,53,31.69,Supply Chain Co,2024-01-24
SKU-01060,Mini Widget,70,32.99,Acme Corp,2024-01-25
SKU-01061,Mini Gadget,87,34.29,TechSupply Inc,2024-01-26
SKU-01062,Mini Doohickey,104,5.59,Parts R Us,2024-01-27
SKU-01063,Mini Thingamajig,121,6.89,Global Widgets,2024-01-28
SKU-01064,Mini Whatsit,138,8.19,Supply Chain Co,2024-01-01
SKU-01065,Mini Gizmo,155,9.49,Acme Corp,2024-01-02
SKU-01066,Mini Component,172,10.79,TechSupply Inc,2024-01-03
SKU-01067,Mini Part,189,12.09,Parts R Us,2024-01-04
SKU-01068,Mini Module,206,13.39,Global Widgets,2024-01-05
SKU-01069,Mini Assembly,223,14.69,Supply Chain Co,2024-01-06
SKU-01070,Mega Widget,240,15.99,Acme Corp,2024-01-07
SKU-01071,Mega Gadget,257,17.29,TechSupply Inc,2024-01-08
SKU-01072,Mega Doohickey,274,18.59,Parts R Us,2024-01-09
SKU-01073,Mega Thingamajig,291,19.89,Global Widgets,2024-01-10
SKU-01074,Mega Whatsit,308,21.19,Supply Chain Co,2024-01-11
SKU-01075,Mega Gizmo,325,22.49,Acme Corp,2024-01-12
SKU-01076,Mega Component,342,23.79,TechSupply Inc,2024-01-13
SKU-01077,Mega Part,359,25.09,Parts R Us,2024-01-14
SKU-01078,Mega Module,376,26.39,Global Widgets,2024-01-15
SKU-01079,Mega Assembly,393,27.69,Supply Chain Co,2024-01-16
SKU-01080,Super Widget,410,28.99,Acme Corp,2024-01-17
SKU-01081,Super Gadget,427,30.29,TechSupply Inc,2024-01-18
SKU-01082,Super Doohickey,444,31.59,Parts R Us,2024-01-19
SKU-01083,Super Thingamajig,461,32.89,Global Widgets,2024-01-20
SKU-01084,Super Whatsit,478,34.19,Supply Chain Co,2024-01-21
SKU-01085,Super Gizmo,495,5.49,Acme Corp,2024-01-22
SKU-01086,Super Component,62,6.79,TechSupply Inc,2024-01-23
SKU-01087,Super Part,79,8.09,Parts R Us,2024-01-24
SKU-01088,Super Module,96,9.39,Global Widgets,2024-01-25
SKU-01089,Super Assembly,113,10.69,Supply Chain Co,2024-01-26
SKU-01090,Compact Widget,130,11.99,Acme Corp,2024-01-27
SKU-01091,Compact Gadget,147,13.29,TechSupply Inc,2024-01-28
SKU-01092,Compact Doohickey,164,14.59,Parts R Us,2024-01-01
SKU-01093,Compact Thingamajig,181,15.89,Global Widgets,2024-01-02
SKU-01094,Compact Whatsit,198,17.19,Supply Chain Co,2024-01-03
SKU-01095,Compact Gizmo,215,18.49,Acme Corp,2024-01-04
SKU-01096,Compact Component,232,19.79,TechSupply Inc,2024-01-05
SKU-01097,Compact Part,249,21.09,Parts R Us,2024-01-06
SKU-01098,Compact Module,266,22.39,Global Widgets,2024-01-07
SKU-01099,Compact Assembly,283,23.69,Supply Chain Co,2024-01-08
SKU-01100,Premium Widget,300,24.99,Acme Corp,2024-01-09
SKU-01101,Premium Gadget,317,26.29,TechSupply Inc,2024-01-10
SKU-01102,Premium Doohickey,334,27.59,Parts R Us,2024-01-11
SKU-01103,Premium Thingamajig,351,28.89,Global Widgets,2024-01-12
SKU-01104,Premium Whatsit,368,30.19,Supply Chain Co,2024-01-13
SKU-01105,Premium Gizmo,385,31.49,Acme Corp,2024-01-14
SKU-01106,Premium Component,402,32.79,TechSupply Inc,2024-01-15
SKU-01107,Premium Part,419,34.09,Parts R Us,2024-01-16
SKU-01108,Premium Module,436,5.39,Global Widgets,2024-01-17
SKU-01109,Premium Assembly,453,6.69,Supply Chain Co,2024-01-18
SKU-01110,Standard Widget,470,7.99,Acme Corp,2024-01-19
SKU-01111,Standard Gadget,487,9.29,TechSupply Inc,2024-01-20
SKU-01112,Standard Doohickey,54,10.59,Parts R Us,2024-01-21
SKU-01113,Standard Thingamajig,71,11.89,Global Widgets,2024-01-22
SKU-01114,Standard Whatsit,88,13.19,Supply Chain Co,2024-01-23
SKU-01115,Standard Gizmo,105,14.49,Acme Corp,2024-01-24
SKU-01116,Standard Component,122,15.79,TechSupply Inc,2024-01-25
SKU-01117,Standard Part,139,17.09,Parts R Us,2024-01-26
SKU-01118,Standard Module,156,18.39,Global Widgets,2024-01-27
SKU-01119,Standard Assembly,173,19.69,Supply Chain Co,2024-01-28
SKU-01120,Deluxe Widget,190,20.99,Acme Corp,2024-01-01
SKU-01121,Deluxe Gadget,207,22.29,TechSupply Inc,2024-01-02
SKU-01122,Deluxe Doohickey,224,23.59,Parts R Us,2024-01-03
SKU-01123,Deluxe Thingamajig,241,24.89,Global Widgets,2024-01-04
SKU-01124,Deluxe Whatsit,258,26.19,Supply Chain Co,2024-01-05
SKU-01125,Deluxe Gizmo,275,27.49,Acme Corp,2024-01-06
SKU-01126,Deluxe Component,292,28.79,TechSupply Inc,2024-01-07
SKU-01127,Deluxe Part,309,30.09,Parts R Us,2024-01-08
SKU-01128,Deluxe Module,326,31.39,Global Widgets,2024-01-09
SKU-01129,Deluxe Assembly,343,32.69,Supply Chain Co,2024-01-10
SKU-01130,Basic Widget,360,33.99,Acme Corp,2024-01-11
SKU-01131,Basic Gadget,377,5.29,TechSupply Inc,2024-01-12
SKU-01132,Basic Doohickey,394,6.59,Parts R Us,2024-01-13
SKU-01133,Basic Thingamajig,411,7.89,Global Widgets,2024-01-14
SKU-01134,Basic Whatsit,428,9.19,Supply Chain Co,2024-01-15
SKU-01135,Basic Gizmo,445,10.49,Acme Corp,2024-01-16
SKU-01136,Basic Component,462,11.79,TechSupply Inc,2024-01-17
SKU-01137,Basic Part,479,13.09,Parts R Us,2024-01-18
SKU-01138,Basic Module,496,14.39,Global Widgets,2024-01-19
SKU-01139,Basic Assembly,63,15.69,Supply Chain Co,2024-01-20
SKU-01140,Pro Widget,80,16.99,Acme Corp,2024-01-21
SKU-01141,Pro Gadget,97,18.29,TechSupply Inc,2024-01-22
SKU-01142,Pro Doohickey,114,19.59,Parts R Us,2024-01-23
SKU-01143,Pro Thingamajig,131,20.89,Global Widgets,2024-01-24
SKU-01144,Pro Whatsit,148,22.19,Supply Chain Co,2024-01-25
SKU-01145,Pro Gizmo,165,23.49,Acme Corp,2024-01-26
SKU-01146,Pro Component,182,24.79,TechSupply Inc,2024-01-27
SKU-01147,Pro Part,199,26.09,Parts R Us,2024-01-28
SKU-01148,Pro Module,216,27.39,Global Widgets,2024-01-01
SKU-01149,Pro Assembly,233,28.69,Supply Chain Co,2024-01-02
SKU-01150,Ultra Widget,250,29.99,Acme Corp,2024-01-03
SKU-01151,Ultra Gadget,267,31.29,TechSupply Inc,2024-01-04
SKU-01152,Ultra Doohickey,284,32.59,Parts R Us,2024-01-05
SKU-01153,Ultra Thingamajig,301,33.89,Global Widgets,2024-01-06
SKU-01154,Ultra Whatsit,318,5.19,Supply Chain Co,2024-01-07
SKU-01155,Ultra Gizmo,335,6.49,Acme Corp,2024-01-08
SKU-01156,Ultra Component,352,7.79,TechSupply Inc,2024-01-09
SKU-01157,Ultra Part,369,9.09,Parts R Us,2024-01-10
SKU-01158,Ultra Module,386,10.39,Global Widgets,2024-01-11
SKU-01159,Ultra Assembly,403,11.69,Supply Chain Co,2024-01-12
SKU-01160,Mini Widget,420,12.99,Acme Corp,2024-01-13
SKU-01161,Mini Gadget,437,14.29,TechSupply Inc,2024-01-14
SKU-01162,Mini Doohickey,454,15.59,Parts R Us,2024-01-15
SKU-01163,Mini Thingamajig,471,16.89,Global Widgets,2024-01-16
SKU-01164,Mini Whatsit,488,18.19,Supply Chain Co,2024-01-17
SKU-01165,Mini Gizmo,55,19.49,Acme Corp,2024-01-18
SKU-01166,Mini Component,72,20.79,TechSupply Inc,2024-01-19
SKU-01167,Mini Part,89,22.09,Parts R Us,2024-01-20
SKU-01168,Mini Module,106,23.39,Global Widgets,2024-01-21
SKU-01169,Mini Assembly,123,24.69,Supply Chain Co,2024-01-22
SKU-01170,Mega Widget,140,25.99,Acme Corp,2024-01-23
SKU-01171,Mega Gadget,157,27.29,TechSupply Inc,2024-01-24
SKU-01172,Mega Doohickey,174,28.59,Parts R Us,2024-01-25
SKU-01173,Mega Thingamajig,191,29.89,Global Widgets,2024-01-26
SKU-01174,Mega Whatsit,208,31.19,Supply Chain Co,2024-01-27
SKU-01175,Mega Gizmo,225,32.49,Acme Corp,2024-01-28
SKU-01176,Mega Component,242,33.79,TechSupply Inc,2024-01-01
SKU-01177,Mega Part,259,5.09,Parts R Us,2024-01-02
SKU-01178,Mega Module,276,6.39,Global Widgets,2024-01-03
SKU-01179,Mega Assembly,293,7.69,Supply Chain Co,2024-01-04
SKU-01180,Super Widget,310,8.99,Acme Corp,2024-01-05
SKU-01181,Super Gadget,327,10.29,TechSupply Inc,2024-01-06
SKU-01182,Super Doohickey,344,11.59,Parts R Us,2024-01-07
SKU-01183,Super Thingamajig,361,12.89,Global Widgets,2024-01-08
SKU-01184,Super Whatsit,378,14.19,Supply Chain Co,2024-01-09
SKU-01185,Super Gizmo,395,15.49,Acme Corp,2024-01-10
SKU-01186,Super Component,412,16.79,TechSupply Inc,2024-01-11
SKU-01187,Super Part,429,18.09,Parts R Us,2024-01-12
SKU-01188,Super Module,446,19.39,Global Widgets,2024-01-13
SKU-01189,Super Assembly,463,20.69,Supply Chain Co,2024-01-14
SKU-01190,Compact Widget,480,21.99,Acme Corp,2024-01-15
SKU-01191,Compact Gadget,497,23.29,TechSupply Inc,2024-01-16
SKU-01192,Compact Doohickey,64,24.59,Parts R Us,2024-01-17
SKU-01193,Compact Thingamajig,81,25.89,Global Widgets,2024-01-18
